App classificação,Nivel_1_PT,Nivel_2_PT,Nivel_3_PT,Key_words,Key_words_negative,Receita/Despesa,Fixo/Variável,Recorrente
Lazer / Esporte,Esportes,Tênis,Tennis Kids,Georgi Kranchev; Tanja Mayr,,Despesa,Variável,Não
Lazer / Esporte,Férias,Férias Cassius,Férias Vista Cassius,Wolfsschlucht Pruem mbH,,Despesa,Variável,Não
Lazer / Esporte,Férias,Férias Londres,Férias Londres,THISTLEMARBLE LONDON; Flugstrecke:Von: MEMMINGEN Nach: LONDON;ENGLAND UK Fluglinie:; WARNER BROS WARNER BROS UNITED KINGDOM,,Despesa,Variável,Não
Financiamento,Finanças,Cartões,Juros Amex,ZINSBELASTUNG,,Despesa,Variável,Não
Financiamento,Finanças,Cartões,Juros M&M,"1,95% für Währungsumrechn",,Despesa,Variável,Não
Financiamento,Finanças,Cartões,Miles & More Mensalidade,monatlicher Kartenpreis,,Despesa,Fixo,Sim
Financiamento,Finanças,Financiamento,Apollo Optik parcelado,CC28K3RBB78RKBG6; Apollo-Optik Holding GmbH ? Co. KG DP25-00125921; Apollo-Optik Holding GmbH ? Co. KG; DE52100190001000027873,,Despesa,Fixo,Sim
Financiamento,Finanças,Financiamento,Diba Financiamento,ING-DIBA AG 5328937129,,Despesa,Fixo,Sim
Financiamento,Finanças,Financiamento,Diba Rahmenkredit,Rahmenkredit komplett abbezaht; DE12500105175705720690; Rahmenkredit; 5705720690.KKRATKR.01.002.142920,,Despesa,Fixo,Sim
Financiamento,Finanças,Financiamento,Empréstimo Targobank,00007285400453 VINICIUS STEIGLEDER VIELEN DANK IHRE TARGOBANK,,Despesa,Fixo,Sim
Financiamento,Finanças,Juros Conta negativa,Juros Sparkasse,ABSCHLUSS -- 0000000000 -- Sparkasse,,Despesa,Variável,Não
Financiamento,Finanças,Saque,Saque,BARGELDAUSZAHLUNG -- DE66700530709000481409; GELDAUTOMAT; BARGELDAUSZAHLUNG,,Despesa,Variável,Não
Financiamento,Finanças,Taxas e juros,Juros/câmbio,"1,95% für Währungsumrechn",,Despesa,Variável,Não
Financiamento,Finanças,Taxas e juros,Taxas Sparkasse,ENTGELTABSCHLUSS,,Despesa,Variável,Não
Interno,Interno,Cartões,Amex fatura/pagamento,pagamento Amex; AMERICAN EXPRESS; Amex - RETOURNIERTE LASTSCHRIFT; Amex - ZAHLUNG ERHALTEN. BESTEN DANK.,,Despesa,Variável,Sim
Interno,Interno,Cartões,Miles & More fatura/pagamento,pagamento M&M; DEUTSCHE KREDITBANK AKTIENGESELLSCHAFT,,Despesa,Variável,Sim
Interno,Interno,Cartões,Sparkasse pagamento,pagamento Sparkasse; pagamento cartao de credito Amex;,,Despesa,Variável,Sim
Outros,Lazer,Eventos,Ingressos,,,Despesa,Variável,Não
Outros,Lazer,Eventos,Lazer geral,,,Despesa,Variável,Não
Outros,Lazer,Jogos online,Jogos - David,ROBLOX.COM 18888582569 SAN MATEO,,Despesa,Variável,Não
Outros,Lazer,Oktoberfest,Oktoberfest,Oktoberfest,,Despesa,Variável,Não
Outros,Lazer,Presentes e festas,Festa de Aniver David,UZR*FunZone,,Despesa,Variável,Não
Transporte,Mobilidade,Carro,Combustível,Tankstelle; ALLGUTH,,Despesa,Variável,Não
Transporte,Mobilidade,Carro,Estacionamento,Parkhaus; HandyParken Muenchen; Parkgaragen; PBW PG KRIEGSBERGSTR.; Parkgarage; PARKEN OLYMPIA,,Despesa,Variável,Não
Transporte,Mobilidade,Carro,Multas/Infrações,Stadt Mannheim,,Despesa,Variável,Não
Transporte,Mobilidade,Carro,Seguro,Kfz-Versicherung Nr 870711522 fuerIhr Fahrzeug mit dem Kennzeichen FFB FA 317; KFZ0047667216,,Despesa,Fixo,Não
Transporte,Mobilidade,Transporte,MVV / Bus / Trem,MVV TICKETSHOP LOGPAY VOI DE,,Despesa,Variável,Não
Moradia,Moradia,Esting,Financiamento,7060327031D660501010022518260 DARLEHENSABSCHLUSS IBAN DE20701694600020137367; R + V LEBENSVERSICHERUNG AKTIENGESELLSCHAFT,,Despesa,Fixo,Sim
Moradia,Moradia,Esting,Haus Esting - NK Grundstück,Haushaltsstelle:06001/10000/Steigleder; AGF Immobilien und Services GmbH,,Despesa,Variável,Não
Moradia,Moradia,Esting,Manutenção,,,Despesa,Variável,Não
Moradia,Moradia,Esting,Materiais e obras,,,Despesa,Variável,Não
Moradia,Moradia,Esting,Serviços,,,Despesa,Variável,Não
Moradia,Moradia,Esting,Utilidades,,,Despesa,Variável,Não
Moradia,Moradia,Karlsruhe,Aluguel recebido,Miete incl. Nebenkosten,,Receita,Fixo,Sim
Moradia,Moradia,Karlsruhe,Aquecimento/Fernwärme,Vertragsnr 250014203; V 2004774510-BEL400000778120-VK250014203,,Despesa,Fixo,Sim
Moradia,Moradia,Karlsruhe,Energia/Água,Vertragskonto 210672822,,Despesa,Fixo,Sim
Moradia,Moradia,Karlsruhe,Financiamento,31440560102023; 31432225842024; AZ 7545532023; AZ 7545532014,,Despesa,Fixo,Sim
Moradia,Moradia,Karlsruhe,Impostos e taxas,501004496409/Grundsteuer B 2025; 501004496409/Grundsteuer,,Despesa,Fixo,Sim
Moradia,Moradia,Karlsruhe,Nebenkosten/WEG/Hausverwaltung,"WEG loswohnen II; loswohnen II , Karlsruhe -- HG Vorauszahlung 302-1-1; WEG Loswohnen 2; DE74660501010022518260; WEG",,Despesa,Fixo,Sim
Moradia,Moradia,Olching,Aluguel incl. NK,Schroeder -- Monatsmiete -- DAUERAUFTRAG; Schroeder; Schroeder -- Monatsmiete -- DAUERAUFTRAG,,Despesa,Fixo,Sim
Moradia,Moradia,Olching,Energia,S/836678520540/602712118857; LichtBlick SE -- Abschlag (Strom); VATTENFALL EUROPE SALES; LichtBlick SE,,Despesa,Fixo,Sim
Moradia,Moradia,Olching,Internet/TV/Telefone,933951689,,Despesa,Fixo,Sim
Moradia,Moradia,Olching,Manutenção / Baumarkt,DANKE BZO OLCHING GMBH,,Despesa,Variável,Não
Outros,Pets,Compras,Alimentação e acessórios,www.futalis.de; Fressnapf,,Despesa,Variável,Não
Outros,Pets,Veterinário,Veterinário,,,Despesa,Variável,Não
Saúde,Saúde,Cabelereiro,Cabelereiro,,,Despesa,Variável,Não
Saúde,Saúde,Cuidados pessoais,Limpeza de pele,natalia.fertsc,,Despesa,Variável,Não
Saúde,Saúde,Cuidados pessoais,Produtos de estética,Silvia Griebl; L'OCCITANE DÜSSELDORF;,,Despesa,Variável,Não
Saúde,Saúde,Dentista/Ortodontia,Dentista/Ortodontia,Gemeinschaftspraxis fuer Kinderzahnheilkunde; Zahnarztpraxis,,Despesa,Variável,Não
Saúde,Saúde,Farmácia,Farmácia,Apotheke,,Despesa,Variável,Não
Saúde,Saúde,Gastos gerais,Palmilha,AGM MUELLER GMBH,,Despesa,Variável,Não
Saúde,Saúde,Laboratório,Laboratório,Labor Augsburg MVZ,,Despesa,Variável,Não
Saúde,Saúde,Logopädie,Logo David,Marion Schanz,,Despesa,Variável,Não
Saúde,Saúde,Médico,Médico,PVS bayern GmbH; Gemeinschaftspraxis Dres. Huber Neu//MARKT SCHWABEN/DE; Hautarztpraxis Dr Poppe,,Despesa,Variável,Não
Saúde,Saúde,Óculos Apollo,Óculos David,APOLLO OPTIK -- -40 -- Processed; ; OLCHING -- APOLLO-OPTIK,,Despesa,Variável,Sim
Saúde,Saúde,Seguros,AOK Seguro Vinao,OB-D400492027,,Despesa,Fixo,Sim
Saúde,Saúde,Seguros,DEVK,Z00013153275 Leben; Haushaltglas; Hausrat; Haftpflicht; Rechtsschutz ; 622026799196; DEVK Riehlerstrasse 190 Koeln; DE87370605900000402702; DEVK Lebensversicherungsverein,,Despesa,Fixo,Sim
Outros,Telefone,Celular,Celular Family,Kd-Nr.: 6074738889,,Despesa,Fixo,Sim
Trabalho,Trabalho,Bosch Viagem,Reembolso Bosch,Bosch GmbHTvl Exp,,Receita,Variável,Não
Trabalho,Trabalho,Bosch Viagem,Team-Event,Banca Prealpi Sanbiagio Credito Cooperativo,,Despesa,Variável,Não
Trabalho,Trabalho,Salário,Salário Erica,Emylie Maria Bernardes Pereira; Rogerio Behr; Ricardo Nuber; David Brandao Da Silva; Fernanda Mendonca Finato; Emylie Maria Bernardes Pereira; Leonardo Morassi Capitanio,,Receita,Variável,Não
Trabalho,Trabalho,Salário,Salário Vinicius,Entgelt 71336818,,Receita,Fixo,Sim
Outros,Transferências,Transferências para Brasil,Transferências Wise/TransferWise,TransferWise; wise,,Despesa,Variável,Não
Renda Extra,Vendas,Vendas online,Vendas Vinted/Mangopay,Mangopay; Kleinanzeigen,,Receita,Variável,Não
