Alias_Desc,Key_words_alias,URL_icon_internet
CleverFit Fitness,OLC--0157-0000631 OLC-2637639; OLC-2637639; OLC--0157-0000373 OLC-2428106 RED LABEL; OLC-2428106 RED LABEL; OLC--0156-0000276 OLC-2637461 RED LABEL; OLC-2637461 RED LABEL,"https://onecdn.io/cdn-cgi/image/width=1200,height=600,fit=contain/media/4478e8e9-a6b4-4895-96dd-ae97a21b831d/lg"
Seguro,Kfz-Versicherung Nr 870711522 fuerIhr Fahrzeug mit dem Kennzeichen FFB FA 317; KFZ0047667216,
Estacionamento,Parkhaus; HandyParken Muenchen; Parkgaragen; PBW PG KRIEGSBERGSTR.; Parkgarage; PARKEN OLYMPIA,
Multas/Infrações,Stadt Mannheim,
MVV / Bus / Trem,MVV TICKETSHOP LOGPAY VOI DE,
Médico,PVS bayern GmbH; Gemeinschaftspraxis Dres. Huber Neu//MARKT SCHWABEN/DE; Hautarztpraxis Dr Poppe,
Dentista/Ortodontia,Gemeinschaftspraxis fuer Kinderzahnheilkunde; Zahnarztpraxis,
Farmácia,Apotheke,
AOK,OB-D400492027,https://upload.wikimedia.org/wikipedia/commons/a/a8/AOK-2021.svg
DEVK,Z00013153275 Leben; Haushaltglas; Hausrat; Haftpflicht; Rechtsschutz ; 622026799196; DEVK Riehlerstrasse 190 Koeln; DE87370605900000402702; DEVK Lebensversicherungsverein,https://upload.wikimedia.org/wikipedia/de/thumb/9/92/DEVK_201x_logo.svg/330px-DEVK_201x_logo.svg.png
Gymnasium Olching,Gymnasium Olching,
Kindergeld,Arbeit - Familien kasse; Bundesagentur,https://upload.wikimedia.org/wikipedia/de/thumb/7/7c/Bundesagentur_f%C3%BCr_Arbeit_logo.svg/2048px-Bundesagentur_f%C3%BCr_Arbeit_logo.svg.png
Wise,TransferWise,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Wise_Logo_512x124.svg/330px-Wise_Logo_512x124.svg.png
Amex fatura,pagamento Amex; AMERICAN EXPRESS; Amex - RETOURNIERTE LASTSCHRIFT; Amex - ZAHLUNG ERHALTEN. BESTEN DANK.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/American_Express_logo_%282018%29.svg/2052px-American_Express_logo_%282018%29.svg.png
Miles & More fatura,pagamento M&M; DEUTSCHE KREDITBANK AKTIENGESELLSCHAFT,https://upload.wikimedia.org/wikipedia/de/thumb/3/39/Miles_%26_More_Logo.svg/512px-Miles_%26_More_Logo.svg.png
Saque,BARGELDAUSZAHLUNG -- DE66700530709000481409; GELDAUTOMAT; BARGELDAUSZAHLUNG,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo-_Sparkassen-App_%E2%80%93_die_mobile_Filiale.png
Miles & More Mensalidade,monatlicher Kartenpreis,https://upload.wikimedia.org/wikipedia/de/thumb/3/39/Miles_%26_More_Logo.svg/512px-Miles_%26_More_Logo.svg.png
Apollo,CC28K3RBB78RKBG6; Apollo-Optik Holding GmbH ? Co. KG DP25-00125921; Apollo-Optik Holding GmbH ? Co. KG; DE52100190001000027873,
Bosch salário Vinicius,Entgelt 71336818,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Bosch-logo.svg/250px-Bosch-logo.svg.png
Salário Erica,Emylie Maria Bernardes Pereira; Rogerio Behr; Ricardo Nuber; David Brandao Da Silva; Fernanda Mendonca Finato; Emylie Maria Bernardes Pereira; Leonardo Morassi Capitanio,
Kleinanzeigen,Kleinanzeigen,
BOG Mitglied,Mitgliedsbeitrag 2024 f r Erica und Vinicius Steiglede; Bruederlichkeit ohne Grenzen e.V.--Mitgliedsbeitrag 2025; Bruederlichkeit ohne Grenzen e.V. -- Mitgliedsbeitrag; PAYPAL *BRUEDERLICH 4029357733,
Diba Financiamento,ING-DIBA AG 5328937129,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsn3G2ZyO4U8WB-CIA3zKE3rgB8rYSdmJx_ft6KQCgVA&s
Diba Rahmenkredit,Rahmenkredit komplett abbezaht; DE12500105175705720690; Rahmenkredit; 5705720690.KKRATKR.01.002.142920,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsn3G2ZyO4U8WB-CIA3zKE3rgB8rYSdmJx_ft6KQCgVA&s
Saturn,Saturn,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Saturn-Logo.svg/330px-Saturn-Logo.svg.png
Mediamarkt,Mediamarkt,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/MediaMarkt_logo.svg/330px-MediaMarkt_logo.svg.png
Ikea,Ikea,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Ikea-logo.svg/330px-Ikea-logo.svg.png
Schülerhilfe,SCHULHILFEV,https://upload.wikimedia.org/wikipedia/de/thumb/d/dc/Sch%C3%BClerhilfe-Logo.svg/2560px-Sch%C3%BClerhilfe-Logo.svg.png
ROBLOX,ROBLOX,https://images.seeklogo.com/logo-png/36/1/roblox-logo-png_seeklogo-365972.png
AOK Seguro Vinao,OB-D400492027,https://upload.wikimedia.org/wikipedia/commons/a/a8/AOK-2021.svg
Reembolso Bosch,Bosch GmbHTvl Exp,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Bosch-logo.svg/250px-Bosch-logo.svg.png
Stadtwerk Karlsruhe - Fernwärme,Vertragsnr 250014203; V 2004774510-BEL400000778120-VK250014203,https://www.stadtwerke-karlsruhe.de/wLayout/wGlobal/layout/images/logo.png
Stadtwerk Karlsruhe - Wasser,Vertragskonto 210672822,https://www.stadtwerke-karlsruhe.de/wLayout/wGlobal/layout/images/logo.png
